"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"098","CENTREVILLE HALL","1114","62","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"091","CHEMISTRY BUILDING","B0202","239.89","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","B0204","61.99","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"121","CHESTERTOWN HALL","0119","26","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"121","CHESTERTOWN HALL","0121A","26","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"121","CHESTERTOWN HALL","1106A","22","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"121","CHESTERTOWN HALL","1108A","22","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"052","CLARENCE M. MITCHELL, JR. BUIL","3121","43.24","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2522","32.94","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2524","32.91","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2608","284.46","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1467","81.63","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"122","CUMBERLAND HALL","0124","133","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"252","DENTON HALL","0110","38.98","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"252","DENTON HALL","1128","26.22","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"253","EASTON HALL","1119B","55","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"226","EDWARD ST. JOHN LEARNING AND T","1109","48.27","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1203","68.21","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","B0210","75.42","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"254","ELKTON HALL","0115","63","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"256","ELLICOTT HALL","1121","50","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"068","EPPLEY RECREATION CENTER","1109","135.56","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"068","EPPLEY RECREATION CENTER","1111","155.89","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"379","GOSSETT FOOTBALL TEAM HOUSE","0109F","51.72","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"073","H.J. PATTERSON HALL","2111","54.67","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"258","HAGERSTOWN HALL","0105","47","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"140","HEALTH CENTER","1140","56.02","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","4104A","53","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"976","IBBR 1","0A-002","67.14","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"977","IBBR 2","1231","67.33","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"977","IBBR 2","4201","76","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"977","IBBR 2","4203","73.45","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"085","INSTITUTE FOR PHYSICAL SCIENCE","1103","56.81","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"034","JIMENEZ HALL","0113","151.27","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"082","JOHN S. TOLL PHYSICS BUILDING","2127","46.13","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"259","LA PLATA HALL","0105","25","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"259","LA PLATA HALL","0107","47","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"259","LA PLATA HALL","0123","315","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"259","LA PLATA HALL","0125","46","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"259","LA PLATA HALL","1129","181","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"038","LEFRAK HALL","0121","63.89","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"201","LEONARDTOWN OFFICE BUILDING","1119A","74","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"201","LEONARDTOWN OFFICE BUILDING","1201","34","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"201","LEONARDTOWN OFFICE BUILDING","1203","22","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"046","MARIE MOUNT HALL","2107","125.2","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"409","MARYLAND SOFTBALL STADIUM","1108","44.97","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"368","MARYLAND STADIUM BUILDING (UPP","1518","72.94","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"368","MARYLAND STADIUM BUILDING (UPP","1524A","57.5","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"368","MARYLAND STADIUM BUILDING (UPP","2518","60","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"368","MARYLAND STADIUM BUILDING (UPP","3514","49.57","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"009","MEMORIAL CHAPEL","1104","30","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"009","MEMORIAL CHAPEL","1111","39.72","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"009","MEMORIAL CHAPEL","1114","30","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"009","MEMORIAL CHAPEL","2104","30","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"009","MEMORIAL CHAPEL","2114","29.58","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"040","MORRILL HALL","0112","48.44","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"232","NYUMBURU CULTURAL CENTER","0108","64.19","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","1118","52.86","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","2105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","3105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","4105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","5105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","6105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","7105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"419","OAKLAND HALL","8105","64.27","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"146","PARREN J. MITCHELL ART-SOCIOLO","3113","113.49","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"805","PATAPSCO BUILDING","1120","36.24","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"415","PHYSICAL SCIENCES COMPLEX","0262","49.06","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"036","PLANT SCIENCES BUILDING","3166B","33.83","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"036","PLANT SCIENCES BUILDING","3166C","39.67","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"036","PLANT SCIENCES BUILDING","4160","33.83","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"036","PLANT SCIENCES BUILDING","4162","39.67","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"036","PLANT SCIENCES BUILDING","5147","40.25","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"007","POCOMOKE BUILDING","0101","47.22","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"054","PREINKERT HALL","1113","55.59","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"054","PREINKERT HALL","1209","70.5","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"425","PRINCE FREDERICK HALL","0104","93.9","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","1220","60.26","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","2203","57.23","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","2224","98.21","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","3203","58.98","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","3224","98.21","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","4203","58.98","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","4224","98.21","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","5203","58.98","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","5224","98.21","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","6203","58.98","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","6224","98.21","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","7203","58.98","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"425","PRINCE FREDERICK HALL","7224","98.21","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"080","ROSSBOROUGH INN","1103","41.39","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"255","SCHOOL OF PUBLIC HEALTH BUILDI","0127","54.27","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"812","SENECA BUILDING","1107","48.29","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"810","SEVERN BUILDING","0103","42.71","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"037","SHOEMAKER BUILDING","0101","61.7","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"037","SHOEMAKER BUILDING","1111A","38.57","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"026","SOUTH CAMPUS DINING HALL","0116C","50.02","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"026","SOUTH CAMPUS DINING HALL","0145","62.13","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"026","SOUTH CAMPUS DINING HALL","1126","1064.89","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"026","SOUTH CAMPUS DINING HALL","1128","769.63","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"026","SOUTH CAMPUS DINING HALL","2101","67.36","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"163","STAMP STUDENT UNION","3101","44","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"163","STAMP STUDENT UNION","3102","44","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"163","STAMP STUDENT UNION","B0102","231.97","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"163","STAMP STUDENT UNION","B0104","231.97","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"163","STAMP STUDENT UNION","B0111D","83.33","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"163","STAMP STUDENT UNION","B0113A","99.12","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"043","TALIAFERRO HALL","2157","55.25","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"043","TALIAFERRO HALL","3105","54.04","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"077","THOMAS V. MILLER JR. ADMINISTR","2115","49.71","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"042","TYDINGS HALL","1133","97.92","030K GENR RSTRM","GENU-STATE APPROPRIATIONS"
"158","VARSITY SPORTS TEAMHOUSE","0100","141.28","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"069","WICOMICO HALL","0104A","30.08","030K GENR RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
