"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"115","A.V. WILLIAMS BUILDING","4108","146.31","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","4434","157.67","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","0524","168.74","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","1145","168.62","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","1402","72.92","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","3143","197.33","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","3143A","64.31","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","3143B","16.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"008","ANNAPOLIS HALL","1104","186.65","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"060","ANNE ARUNDEL HALL","0112","121.2","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"145","ARCHITECTURE BUILDING","0109","96.09","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"145","ARCHITECTURE BUILDING","0214","93.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"145","ARCHITECTURE BUILDING","1109","90.91","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"145","ARCHITECTURE BUILDING","1203","144.56","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"749","ART HOUGHTON JR. OFFICE LAB","1144","53.5","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"749","ART HOUGHTON JR. OFFICE LAB","1144A","92.88","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"749","ART HOUGHTON JR. OFFICE LAB","1144B","60.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","1142","131.83","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","2244","19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","2244A","120.04","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","3344","19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","3344A","120.04","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"219","ASTRONOMY LECTURE BUILDING","1100B","58.33","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","0217","104.25","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","0306","100.92","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1120","55.42","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1217","115.45","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1323","110.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1414","173.88","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2217","84.51","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2323","110.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2406","171.13","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3217","114.06","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3321","110.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3406","171.13","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4120","59.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4217","114.53","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4321","110.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4410","172.66","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1133","34.67","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1133A","190.44","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1133B","78.83","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1133C","41.06","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1133D","79.72","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1214","152.72","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1429","155.01","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1429A","77.31","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","0118","160.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","1310","159.88","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","2118","161.02","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","3310","157.79","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","0119","154.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","0282","115.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","1119","154.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","1218","115.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","2119","154.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","2282","115.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","3119","154.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","3282","115.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","4119","154.27","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","4282","115.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","B0125","68.61","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"296","BIOMOLECULAR SCIENCES BUILDING","1112","177.72","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"296","BIOMOLECULAR SCIENCES BUILDING","2112","177.72","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"296","BIOMOLECULAR SCIENCES BUILDING","3112","175.49","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","0104","277.72","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","0202","174.58","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","1202","176.35","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","2202","176.36","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","3202","176.56","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"159","BOB ""TURTLE"" SMITH STADIUM AT","1104","122.65","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"432","BRENDAN IRIBE CENTER","0115","419.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","1215","258.94","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","2215","258.18","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","3215","258.18","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","4215","258.18","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","5215","260.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"089","C. DANIEL MOTE, JR. ENGINEERIN","1160","137.03","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"089","C. DANIEL MOTE, JR. ENGINEERIN","1182A","133.33","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"097","CAMBRIDGE COMMUNITY CENTER","1104","221.56","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"097","CAMBRIDGE COMMUNITY CENTER","1207","162.94","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"070","CAROLINE HALL","0112","155.88","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"667","CENTRAL MD OFFICE","1102","112.49","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"098","CENTREVILLE HALL","0109G","67","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"098","CENTREVILLE HALL","0200C","105","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"090","CHEMICAL & NUCLEAR ENGINEERING","1131","137.88","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","1204","140.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2137","132.4","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2137A","58.73","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2137B","25.75","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","0409","177.58","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1232","269.03","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1324","274.22","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1409","67.4","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","2202","275.73","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","2324","253.1","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","2509","142.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","3234","188.5","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","3324","247.86","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","4509","140.53","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","1105","42.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","1105A","174.63","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","2105","42.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","2105A","174.63","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","3105","42.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","3105A","174.63","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","4105","42.19","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","4105A","174.63","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","1112","160.57","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","2112","140.9","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","4112","120.96","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"052","CLARENCE M. MITCHELL, JR. BUIL","0111","193.6","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"052","CLARENCE M. MITCHELL, JR. BUIL","1111","147.64","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"052","CLARENCE M. MITCHELL, JR. BUIL","2111","111.39","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1217","392.18","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1460","571.93","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1705","249.1","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1716","318.6","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1900B","216.74","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1900C","133.47","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2304","209.87","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2726","289.49","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","3103","136.83","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","3169","204.04","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","3735","244.73","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"660","CLARKSVILLE OFFICE","1104","84.06","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","0210","263.33","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","0425","169.4","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1129","304.5","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1129A","714","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1416","210.14","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","2416","273.91","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","3102","210.42","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"802","COLLEGE PARK FIRE STATION","1123","106.89","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","1103","202.97","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","2103","202.97","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","3103","202.97","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","4103","204.59","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"122","CUMBERLAND HALL","0112","46","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"122","CUMBERLAND HALL","1126","252","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"122","CUMBERLAND HALL","1136","252","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"251","DENTON AREA DINING HALL","1108","269.66","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"251","DENTON AREA DINING HALL","1134","361.99","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"251","DENTON AREA DINING HALL","1134A","37.56","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"253","EASTON HALL","1123","345","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"226","EDWARD ST. JOHN LEARNING AND T","0112","205.5","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","0223","237.53","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","0321","204.2","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1111","173.43","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1221","381.36","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1305","283.56","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","2205","297.79","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","2307","277.93","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"254","ELKTON HALL","0100C","42","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"257","ELLICOTT AREA DINING HALL","1105","229.51","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"257","ELLICOTT AREA DINING HALL","1135","252","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"256","ELLICOTT HALL","0107","38","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"223","ENERGY RESEARCH FACILITY","0106","45.22","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"223","ENERGY RESEARCH FACILITY","0123","38.82","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"223","ENERGY RESEARCH FACILITY","0213","121.48","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"223","ENERGY RESEARCH FACILITY","1213","127.67","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"093","ENGINEERING ANNEX","0102","42.07","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"093","ENGINEERING ANNEX","0201F","44.55","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"093","ENGINEERING ANNEX","0304","80.08","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"414","FIELD HOCKEY AND LACROSSE COMP","1105","356.91","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"048","FRANCIS SCOTT KEY HALL","0108","171.88","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"048","FRANCIS SCOTT KEY HALL","1114","173.72","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"048","FRANCIS SCOTT KEY HALL","2108","210.49","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"048","FRANCIS SCOTT KEY HALL","3112","196.5","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"237","GEOLOGY BUILDING","1125","166.65","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"237","GEOLOGY BUILDING","3125","127.21","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"237","GEOLOGY BUILDING","3125A","35.89","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"166","GOLF COURSE CLUB HOUSE","0106A","255.68","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"166","GOLF COURSE CLUB HOUSE","0120G","211.12","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"166","GOLF COURSE CLUB HOUSE","1103","288.11","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"318","GOLF COURSE TOILET FACILITY","1102","22.22","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"379","GOSSETT FOOTBALL TEAM HOUSE","1103","58.45","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"379","GOSSETT FOOTBALL TEAM HOUSE","1191A","227.66","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"073","H.J. PATTERSON HALL","0218","145.28","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"073","H.J. PATTERSON HALL","1113","212.6","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"073","H.J. PATTERSON HALL","2113","212.8","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"073","H.J. PATTERSON HALL","2218","177.54","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"073","H.J. PATTERSON HALL","3113","157.53","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"073","H.J. PATTERSON HALL","3202","188.3","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"258","HAGERSTOWN HALL","0107A","109","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"258","HAGERSTOWN HALL","0125","98","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"258","HAGERSTOWN HALL","1117","167","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"258","HAGERSTOWN HALL","1129","167","030J WOMEN RSTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"140","HEALTH CENTER","0135","201.82","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"140","HEALTH CENTER","2141","206.81","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"387","HERBERT RABIN TECHNOLOGY ADVAN","1196","102","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"387","HERBERT RABIN TECHNOLOGY ADVAN","2196","92.26","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"387","HERBERT RABIN TECHNOLOGY ADVAN","3196","92.26","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","0102","34.81","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","0102A","217.46","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","0210","66.25","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","0210A","53","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","0218","412.06","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","1102","31.94","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","1102A","262.97","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","1214","318.58","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","2102","163.42","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","2207","69.38","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","2207A","55.5","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","2215","34.91","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","2215A","52.65","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
"147","HORNBAKE LIBRARY","2215B","430.24","030J WOMEN RSTRM","GENU-STATE APPROPRIATIONS"
